canonical_smiles,molecule_chembl_id,pref_name,max_phase,molecule_type,first_approval
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,CHEMBL40,PHENOBARBITAL,4,Small molecule,2022
CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,CHEMBL41,FLUOXETINE,4,Small molecule,1987
COc1ccc2[nH]cc(CCN(C)C)c2c1,CHEMBL7257,MEBUFOTENIN,2,Small molecule,
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,CHEMBL443,SULFAMETHOXAZOLE,4,Small molecule,1973
CCC1(CC)C(=O)NC(=O)NC1=O,CHEMBL444,BARBITAL,4,Small molecule,
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,CHEMBL42,CLOZAPINE,4,Small molecule,1989
CNCCC=C1c2ccccc2CCc2ccccc21,CHEMBL445,NORTRIPTYLINE,4,Small molecule,1964
Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,CHEMBL446,SULFAMETHAZINE,4,Small molecule,1949
C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,CHEMBL447,SECOBARBITAL,4,Small molecule,1950
CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,CHEMBL448,PENTOBARBITAL,4,Small molecule,1973
CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,CHEMBL7568,QUINACRINE,4,Small molecule,
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,CHEMBL267894,AMOBARBITAL,4,Small molecule,
CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,CHEMBL7728,HEXOBARBITAL,4,Small molecule,
CCC(C)C1(CC)C(=O)NC(=O)NC1=O,CHEMBL449,BUTABARBITAL,4,Small molecule,1939
C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,CHEMBL7863,APROBARBITAL,4,Small molecule,
CCC1(CC)C(=O)NC(=O)N(C)C1=O,CHEMBL450,METHARBITAL,4,Small molecule,1982
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,CHEMBL267719,ALLOBARBITAL,2,Small molecule,
CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,CHEMBL451,CHLORDIAZEPOXIDE,4,Small molecule,1960
N=C(N)c1ccc(CNC(=O)[C@@H]2CCN2C(=O)[C@H](NCC(=O)O)C2CCCCC2)cc1,CHEMBL266349,MELAGATRAN,4,Small molecule,2004
O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,CHEMBL452,CLONAZEPAM,4,Small molecule,1975
Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,CHEMBL453,SULFISOXAZOLE,4,Small molecule,1971
COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1,CHEMBL268869,SULFAMETHOXYPYRIDAZINE,4,Small molecule,
C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,CHEMBL454,BUTALBITAL,4,Small molecule,1983
CC(=O)NS(=O)(=O)c1ccc(N)cc1,CHEMBL455,SULFACETAMIDE,4,Small molecule,1945
COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,CHEMBL43,AMSACRINE,4,Small molecule,1987
CC1(c2ccccc2)Cc2cc(OCC(=O)O)c(Cl)c(Cl)c2C1=O,CHEMBL7797,INDACRINONE,2,Small molecule,
NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,CHEMBL429405,SARCOLYSIN,2,Small molecule,
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,CHEMBL456,ETHACRYNIC ACID,4,Small molecule,1967
O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,CHEMBL44,GENISTEIN,2,Small molecule,
CCCN1CCC[C@@H](c2cccc(O)c2)C1,CHEMBL7549,PRECLAMOL,2,Small molecule,
O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl,CHEMBL267744,TICRYNAFEN,4,Small molecule,1979
O=C(Nc1ccc(Cl)cc1)NS(=O)(=O)c1ccc2c(c1)CCC2,CHEMBL7643,SULOFENUR,2,Small molecule,
Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1,CHEMBL457,GEMFIBROZIL,4,Small molecule,1981
COc1ccc2[nH]cc(CCNC(C)=O)c2c1,CHEMBL45,MELATONIN,4,Small molecule,2007
NCCCC[C@H](N)C(=O)O,CHEMBL8085,LYSINE,2,Small molecule,
COC(=O)[C@@H](N)CCCNC(=N)N[N+](=O)[O-],CHEMBL7890,L-NAME,2,Small molecule,
COc1ccc(Cl)cc1[C@]1(F)C(=O)Nc2cc(C(F)(F)F)ccc21,CHEMBL266510,FLINDOKALNER,3,Small molecule,
CCCCNc1c(C(=O)OCC)cnc2c1cnn2CC,CHEMBL8184,CARTAZOLATE,2,Small molecule,
Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,CHEMBL46,ONDANSETRON,4,Small molecule,1991
O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,CHEMBL8145,DAIDZEIN,2,Small molecule,
CCOC(=O)c1cc(NC(=O)c2cccs2)ccc1OCC(O)CNC(C)(C)C,CHEMBL8148,TIENOXOLOL,2,Small molecule,
Cc1cccc(Oc2cnc(=O)[nH]c2)c1,CHEMBL8030,TOLIMIDONE,2,Small molecule,
O=C1c2ccccc2S(=O)(=O)N1CCCCN1CCN(c2ncccn2)CC1,CHEMBL8412,IPSAPIRONE,2,Small molecule,
O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,CHEMBL49,BUSPIRONE,4,Small molecule,1986
O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12,CHEMBL8260,BAICALEIN,2,Small molecule,
