canonical_smiles,molecule_chembl_id,pref_name,max_phase,molecule_type,first_approval
CCCC(CCC)C(=O)[O-].[Na+],CHEMBL433,VALPROATE SODIUM,4,Small molecule,1996
CC(C)NCC(O)c1ccc(O)c(O)c1,CHEMBL434,ISOPROTERENOL,4,Small molecule,1956
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,CHEMBL435,HYDROCHLOROTHIAZIDE,4,Small molecule,1959
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,CHEMBL35,FUROSEMIDE,4,Small molecule,1966
CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,CHEMBL36,PYRIMETHAMINE,4,Small molecule,1953
COc1ccc2c(C(=S)N(C)CC(=O)O)cccc2c1C(F)(F)F,CHEMBL436,TOLRESTAT,4,Small molecule,1989
Nc1ccc(S(=O)(=O)Nc2nccs2)cc1,CHEMBL437,SULFATHIAZOLE,4,Small molecule,1945
Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,CHEMBL438,SULFAMERAZINE,4,Small molecule,1982
Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,CHEMBL439,SULFADIAZINE,4,Small molecule,1941
C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O,CHEMBL440,THIAMYLAL,4,Small molecule,1982
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,CHEMBL441,THIOPENTAL,4,Small molecule,1982
CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,CHEMBL268164,CYCLOBARBITAL,4,Small molecule,
CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21,CHEMBL442,ERGOTAMINE,4,Small molecule,1948
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,CHEMBL38,TRETINOIN,4,Small molecule,1971
C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,CHEMBL7413,METHOHEXITAL,4,Small molecule,1960
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,CHEMBL40,PHENOBARBITAL,4,Small molecule,2022
